时间,EV1_优化功率,EV2_优化功率,EV3_优化功率,EV4_优化功率,EV5_优化功率,EV6_优化功率,EV7_优化功率,EV8_优化功率,EV9_优化功率,EV10_优化功率,EV11_优化功率,EV12_优化功率,EV13_优化功率,EV14_优化功率,EV15_优化功率,EV16_优化功率,EV17_优化功率,EV18_优化功率,EV19_优化功率,EV20_优化功率
2026-01-01 18:45:00,1.439999999999996,0.0,1.4399999999999995,1.4399999999999968,1.44,1.4399999999999942,0.0,1.44,1.4399999999999988,1.4399999999999944,1.4399999999999946,1.4399999999999948,1.4399999999999955,1.4399999999999946,1.44,0.0,0.0,1.4399999999999957,0.0,1.4399999999999944
2026-01-01 19:00:00,1.44,0.0,1.44,1.44,1.44,1.44,0.0,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,0.0,0.0,1.44,0.0,1.44
2026-01-01 19:15:00,1.44,0.0,1.4399999999999997,1.44,1.44,1.4399999999999982,1.44,1.44,1.44,1.4399999999999986,1.4399999999999988,1.4399999999999993,1.44,1.4399999999999988,1.44,0.0,0.0,1.4399999999999997,0.0,1.4399999999999982
2026-01-01 19:30:00,1.4399999999999975,0.0,1.44,1.4399999999999986,1.44,1.439999999999996,1.44,1.44,1.44,1.439999999999996,1.4399999999999962,1.4399999999999966,1.4399999999999975,1.4399999999999962,1.44,0.0,1.44,1.439999999999997,0.0,1.4399999999999964
2026-01-01 19:45:00,1.439999999999998,0.0,1.44,1.4399999999999986,1.44,1.439999999999996,1.4399999999999995,1.44,1.4399999999999997,1.4399999999999962,1.4399999999999962,1.4399999999999966,1.4399999999999973,1.4399999999999962,1.44,0.0,1.4399999999999922,1.439999999999997,0.0,1.4399999999999962
2026-01-01 20:00:00,1.439999999999995,0.0,1.4399999999999997,1.4399999999999962,1.44,1.4399999999999933,1.44,1.44,1.439999999999998,1.439999999999994,1.4399999999999937,1.4399999999999946,1.439999999999995,1.439999999999994,1.44,0.0,1.439999999999999,1.4399999999999948,1.439999999999996,1.439999999999994
2026-01-01 20:15:00,1.4399999999999953,0.0,1.4399999999999997,1.4399999999999962,1.44,1.4399999999999933,1.44,1.44,1.4399999999999982,1.439999999999994,1.439999999999994,1.4399999999999944,1.4399999999999953,1.439999999999994,1.44,0.0,1.44,1.4399999999999948,1.4399999999999957,1.439999999999994
2026-01-01 20:30:00,1.4399999999999955,0.0,1.44,1.4399999999999962,1.44,1.4399999999999933,1.44,1.44,1.439999999999998,1.439999999999994,1.4399999999999942,1.4399999999999944,1.439999999999995,1.439999999999994,1.44,0.0,1.4399999999999988,1.4399999999999948,1.439999999999996,1.4399999999999937
2026-01-01 20:45:00,1.4399999999999955,0.0,1.4399999999999997,1.4399999999999962,1.44,1.4399999999999933,1.44,1.44,1.4399999999999982,1.439999999999994,1.439999999999994,1.4399999999999944,1.439999999999995,1.439999999999994,1.44,0.0,1.44,1.439999999999995,1.439999999999996,1.439999999999994
2026-01-01 21:00:00,1.4399999999999955,0.0,1.44,1.439999999999996,1.4399999999999997,1.4399999999999933,1.44,1.44,1.4399999999999982,1.439999999999994,1.439999999999994,1.4399999999999944,1.439999999999995,1.439999999999994,1.44,0.0,1.44,1.4399999999999948,1.439999999999996,1.439999999999994
2026-01-01 21:15:00,1.4399999999999933,1.44,1.4399999999999997,1.439999999999994,1.44,1.4399999999999913,1.44,1.44,1.4399999999999957,1.4399999999999917,1.4399999999999917,1.4399999999999924,1.439999999999993,1.439999999999992,1.44,0.0,1.44,1.4399999999999928,1.4399999999999937,1.4399999999999917
2026-01-01 21:30:00,1.4399999999999933,1.44,1.44,1.439999999999994,1.44,1.4399999999999913,1.44,1.44,1.439999999999996,1.4399999999999917,1.4399999999999917,1.4399999999999924,1.439999999999993,1.439999999999992,1.44,0.0,1.44,1.4399999999999928,1.4399999999999937,1.4399999999999917
2026-01-01 21:45:00,1.4399999999999933,1.44,1.44,1.439999999999994,1.44,1.4399999999999913,1.44,1.44,1.439999999999996,1.4399999999999917,1.439999999999992,1.4399999999999924,1.439999999999993,1.439999999999992,1.44,0.0,1.44,1.4399999999999928,1.4399999999999937,1.4399999999999917
2026-01-01 22:00:00,1.4399999999999926,1.44,1.44,1.439999999999993,1.44,1.4399999999999904,1.44,1.44,1.439999999999995,1.4399999999999908,1.4399999999999908,1.4399999999999913,1.439999999999992,1.439999999999991,1.44,0.0,1.44,1.4399999999999917,1.439999999999993,1.4399999999999908
2026-01-01 22:15:00,1.4399999999999933,1.44,1.44,1.439999999999994,1.44,1.4399999999999913,1.44,1.44,1.439999999999996,1.4399999999999917,1.4399999999999917,1.4399999999999922,1.439999999999993,1.439999999999992,1.44,0.0,1.44,1.4399999999999928,1.439999999999994,1.4399999999999917
2026-01-01 22:30:00,1.4399999999999933,1.44,1.44,1.439999999999994,1.44,1.4399999999999913,1.44,1.44,1.439999999999996,1.4399999999999917,1.4399999999999917,1.4399999999999924,1.439999999999993,1.439999999999992,1.44,0.0,1.44,1.4399999999999928,1.4399999999999937,1.4399999999999917
2026-01-01 22:45:00,1.4399999999999933,1.44,1.4399999999999997,1.439999999999994,1.44,1.4399999999999913,1.44,1.44,1.439999999999996,1.4399999999999917,1.4399999999999917,1.4399999999999924,1.439999999999993,1.439999999999992,1.44,0.0,1.44,1.4399999999999928,1.4399999999999937,1.4399999999999917
2026-01-01 23:00:00,1.4399999999999933,1.44,1.44,1.439999999999994,1.44,1.4399999999999913,1.44,1.44,1.439999999999996,1.4399999999999917,1.4399999999999917,1.4399999999999924,1.439999999999993,1.439999999999992,1.44,0.0,1.44,1.4399999999999928,1.4399999999999937,1.4399999999999917
2026-01-01 23:15:00,1.4399999999999933,1.44,1.4399999999999997,1.439999999999994,1.44,1.4399999999999915,1.44,1.44,1.4399999999999957,1.4399999999999917,1.4399999999999917,1.4399999999999924,1.439999999999993,1.439999999999992,1.44,0.0,1.44,1.4399999999999928,1.4399999999999937,1.4399999999999917
2026-01-01 23:30:00,1.4399999999999933,1.44,1.44,1.4399999999999942,1.44,1.4399999999999913,1.44,1.44,1.439999999999996,1.4399999999999917,1.4399999999999917,1.4399999999999922,1.439999999999993,1.439999999999992,1.44,0.0,1.44,1.4399999999999928,1.4399999999999937,1.4399999999999917
2026-01-01 23:45:00,1.4399999999999933,1.44,1.44,1.439999999999994,1.44,1.4399999999999913,1.44,1.44,1.439999999999996,1.4399999999999917,1.4399999999999917,1.4399999999999924,1.4399999999999928,1.439999999999992,1.44,0.0,1.44,1.4399999999999928,1.4399999999999937,1.4399999999999917
